term,course_code,area,instructor,level
2026FA,ECI 100,Water,Younis,UG
2026FA,ECI 130,SESM,Kunnath,UG
2026FA,ECI 137,Construction,Harvey,UG
2026FA,ECI 140A,Environmental,Bischel,UG
2026FA,ECI 162,Transportation,Watkins,UG
2026FA,ECI 163,Transportation,Tal,UG
2026FA,ECI 3,Environmental,Cappa,UG
2026FA,ECI 40,Environmental,De Finnda,UG
2026FA,ENG 104,Water,Younis,UG
2027SP,ECI 115,Environmental,De Finnda,UG
2027SP,ECI 132,SESM,Lecturer,UG
2027SP,ECI 140C,Environmental,Young,UG
2027SP,ECI 173,Geotech,Martinez,UG
2027SP,ECI 182,Construction,Schwartz,UG
2027WI,ECI 100,Water,Oldroyd,UG
2027WI,ECI 114,Environmental,Kleeman,UG
2027WI,ECI 135,SESM,Kunnath,UG
2027WI,ECI 140B,Environmental,Pena,UG
2027WI,ECI 161,Transportation,Zhang,UG
2027WI,ECI 171,Geotech,Gardner,UG
2027WI,ECI 171L,Geotech,Gardner,UG
2027WI,ECI 178,Transportation,Nassiri,UG
2027WI,ECI 181,Construction,Martin,UG
